Timestamp,Device,Detail,Status
2025-11-02 12:17:13,192.168.91.116,"['0/FT1', '0/FT0', '0/FT3', '0/FT2']",missing
2025-11-02 12:17:13,192.168.91.115,"['0/FT3', '0/FT2', '0/FT1', '0/FT0']",missing
